page,sentence,snippet,sources,error_types,suggestion_by_source,representative_suggestion,diff,is_ocr
2,"030 · 우리은행 WLT II 평가과정-PM 
(5) DfX (Design for X)
설계의 특정 측면을 최적화하기 위해 제품 설계 과정에서 적용될 수 있는 기술지침 모
음으로 DfX는 제품의 최종 특징을 통제할 수 있을 뿐만 아니라 개선도 가능하다.","030 · 우리은행 WLT II 평가과정-PM 
(5) DfX (Design for X)
설계의 특정 측면을…",rule,,"{""rule"": [{""rule"": ""'~하다' 띄어쓰기"", ""hint"": ""형용사와 '하다' 사이 띄어쓰기 확인""}]}",,,False
4,"품질 보고서 (Quality report) 샘플
시나리오 기반- 우리은행 비대면 실명확인 시스템 재구축
품질 보고서 
우리은행 비대면 실명확인 시스템 재구축 프로젝트
보고 일자 
2024년 5월 30일
1. 품질 관리 이슈
이슈 요약
인터페이스 지연: 사용자 인터페이스 응답 시간이 목표치인 3초를 초과하
여 평균 5초로 측정됨.","품질 보고서 (Quality report) 샘플
시나리오 기반- 우리은행 비대면 실명확인 시스템 재구축
품질…",rule,,"{""rule"": [{""rule"": ""수+단위 띄어쓰기"", ""hint"": ""숫자와 단위 사이 띄어쓰기 확인""}]}",,,False
5,"보안 감사 결과: 마지막 감사에서 식별된 15개의 취약점 중 10개가 성공적
으로 해결됨.","보안 감사 결과: 마지막 감사에서 식별된 15개의 취약점 중 10개가 성공적
으로 해결됨.",rule,,"{""rule"": [{""rule"": ""수+단위 띄어쓰기"", ""hint"": ""숫자와 단위 사이 띄어쓰기 확인""}]}",,,False
5,"남은 5개는 중위험으로 분류되어 추가 조치 계획 중.
8.3 품질통제 (Control quality)
8.3.1 품질통제 개요
품질관리 활동의 실행결과를 감시하고 기록하면서 성과를 평가하고 프로젝트 산출물
이 완전하고 정확하며 고객의 기대사항을 충족하는지 확인하는 프로세스이며 다음과 
같은 활동을 수행한다.
•","남은 5개는 중위험으로 분류되어 추가 조치 계획 중.
8.3 품질통제 (Control quality)
8.3…",rule,,"{""rule"": [{""rule"": ""수+단위 띄어쓰기"", ""hint"": ""숫자와 단위 사이 띄어쓰기 확인""}]}",,,False
6,"전체실행 프로세스 (Direct 
and manage project work)에서 생성되는 인도물을 품질관점에서 검사하는 것이 
가장 중요하다.","전체실행 프로세스 (Direct 
and manage project work)에서 생성되는 인도물을 품질관점…",rule,,"{""rule"": [{""rule"": ""'~하다' 띄어쓰기"", ""hint"": ""형용사와 '하다' 사이 띄어쓰기 확인""}]}",,,False
6,"승인된 변경
요청에 의해 다시 만들어진 인도물은 품질통제 프로세스에서 승인된 변경요청 정보
를 입력물로 받고, 잘 준비하다가 인도물이 들어오면 제대로 수정이 되었는지 확인
하여야 한다. 
•","승인된 변경
요청에 의해 다시 만들어진 인도물은 품질통제 프로세스에서 승인된 변경요청 정보
를 입력물로 받고…",rule,,"{""rule"": [{""rule"": ""'~하다' 띄어쓰기"", ""hint"": ""형용사와 '하다' 사이 띄어쓰기 확인""}]}",,,False
8,"산점도 (Scatter diagrams): 산점도는 2개의 변수를 기반으로 한 축에는 계획된 
성과를 다른 한 축에는 실제 성과를 보여준다.","산점도 (Scatter diagrams): 산점도는 2개의 변수를 기반으로 한 축에는 계획된 
성과를 다른 …",rule,,"{""rule"": [{""rule"": ""수+단위 띄어쓰기"", ""hint"": ""숫자와 단위 사이 띄어쓰기 확인""}]}",,,False
8,"주요 품질도구는 8.1 품질관리계획 프로세스 부분에서 자세히 소개가 되
었다.
•","주요 품질도구는 8.1 품질관리계획 프로세스 부분에서 자세히 소개가 되
었다.
•",rule,,"{""rule"": [{""rule"": ""되/돼"", ""hint"": ""문맥에 맞는 되/돼 확인""}]}",,,False
9,"원가와 일정의 상
호 교환 관계와 같은 프로젝트관리이슈에 적용이 가능하다.","원가와 일정의 상
호 교환 관계와 같은 프로젝트관리이슈에 적용이 가능하다.",rule,,"{""rule"": [{""rule"": ""'~하다' 띄어쓰기"", ""hint"": ""형용사와 '하다' 사이 띄어쓰기 확인""}]}",,,False
9,"기원은 1850년 영국의 농
업 품종개량(실험)에서 유래되었는데, 1932년 R.A.Fisher에 의해 학문으로 발전하였
으며, 최근에 Taguchi method으로 확산 (Taguchi design=Robust design이라 
일컬음)되었다.","기원은 1850년 영국의 농
업 품종개량(실험)에서 유래되었는데, 1932년 R.A.Fisher에 의해 학문…",rule,,"{""rule"": [{""rule"": ""수+단위 띄어쓰기"", ""hint"": ""숫자와 단위 사이 띄어쓰기 확인""}]}",,,False
9,"전수검사와 표본검사의 차이점
항목
전수 검사
표본 검사
검사의 특성
검사 항목이 적고, 
간단히 검사되는 것
검사 항목이 많거나, 
검사가 번잡한 것
LOT의 크기
작을 때
클 때
치명적인 결점이 있는 제품
적합
부적합
불량품이 절대로 허용 안되는 
제품
적합
부적합
검사 원가
많다","전수검사와 표본검사의 차이점
항목
전수 검사
표본 검사
검사의 특성
검사 항목이 적고, 
간단히 검사되는 것…",rule,,"{""rule"": [{""rule"": ""안/않"", ""hint"": ""부정(안) vs 부정용언(않) 점검""}]}",,,False
11,"CHAPTER 8. 품질관리 · 039
(6) 프로젝트 문서 업데이트 (Project document updates)
• 이슈기록부 (Issue log): 품질요구사항을 충족하지 않는 인도물은 일반적으로 이슈
로 문서화된다.
•","CHAPTER 8. 품질관리 · 039
(6) 프로젝트 문서 업데이트 (Project document upd…",rule,,"{""rule"": [{""rule"": ""안/않"", ""hint"": ""부정(안) vs 부정용언(않) 점검""}]}",,,False
